,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,bg_value_mask,fname_red,mean_intensity_red,bg_value_channel,intensity_ratio
450,Z1_C0_T18.tif,39_4,26,0.5440588203494177,15.65685424949238,8264.44846153846,6813.54,Z1_C1_T18.tif,697.3230769230771,3502.36,11.851677844945502
451,Z1_C0_T18.tif,39_5,48,0.4579913728019072,22.48528137423857,11004.472500000002,6813.54,Z1_C1_T18.tif,1593.3166666666666,3502.36,6.906644943984771
452,Z1_C0_T18.tif,39_6,62,0.8737235587660762,31.31370849898476,9998.297096774197,6813.54,Z1_C1_T18.tif,507.81935483870996,3502.36,19.688688510011175
453,Z1_C0_T18.tif,39_7,45,0.5188782193416756,21.899494936611667,9208.33222222222,6813.54,Z1_C1_T18.tif,1717.2777777777771,3502.36,5.36216816020187
454,Z1_C0_T18.tif,39_8,30,0.4509717590117594,17.071067811865476,8973.376666666667,6813.54,Z1_C1_T18.tif,1271.633333333334,3502.36,7.0565755327793624
455,Z1_C0_T18.tif,39_9,51,0.8290043172661912,25.071067811865476,9288.106078431372,6813.54,Z1_C1_T18.tif,238.03725490196084,3502.36,39.019547936968166
456,Z1_C0_T18.tif,39_10,36,0.5439056439097798,19.071067811865476,8607.521111111108,6813.54,Z1_C1_T18.tif,1237.8444444444447,3502.36,6.953637147011826
457,Z1_C0_T18.tif,39_11,42,0.874835781692684,27.727922061357855,8651.433809523809,6813.54,Z1_C1_T18.tif,25308.13809523809,3502.36,0.34184394667704293
458,Z1_C0_T19.tif,40_1,16,0.5773502691896258,11.65685424949238,9537.4175,6813.54,Z1_C1_T19.tif,1091.8575,3502.36,8.735038684077363
459,Z1_C0_T19.tif,40_2,8,0.5773502691896258,7.65685424949238,9752.23,6813.54,Z1_C1_T19.tif,1659.045,3502.36,5.878219095925668
460,Z1_C0_T19.tif,40_3,84,0.9379464026202239,44.17766952966368,10617.360952380948,6813.54,Z1_C1_T19.tif,1813.646190476191,3502.36,5.854152264170805
461,Z1_C0_T19.tif,40_4,35,0.8881921520048569,21.899494936611664,9372.015714285712,6813.54,Z1_C1_T19.tif,1483.8628571428571,3502.36,6.315958155547681
462,Z1_C0_T19.tif,40_5,24,0.5849866175853743,15.071067811865476,9765.396666666667,6813.54,Z1_C1_T19.tif,393.7533333333334,3502.36,24.800797453566528
463,Z1_C0_T19.tif,40_6,43,0.39781471223220566,21.071067811865476,13124.776511627904,6813.54,Z1_C1_T19.tif,1303.106046511628,3502.36,10.071917436621908
464,Z1_C0_T19.tif,40_7,56,0.8704427970504252,29.31370849898476,10708.140714285712,6813.54,Z1_C1_T19.tif,161.40214285714293,3502.36,66.34447675061841
465,Z1_C0_T19.tif,40_8,36,0.5439056439097801,19.071067811865476,11131.868888888886,6813.54,Z1_C1_T19.tif,1078.1699999999998,3502.36,10.324780775655869
466,Z1_C0_T19.tif,40_9,26,0.5440588203494177,15.65685424949238,11544.614615384615,6813.54,Z1_C1_T19.tif,1871.073846153846,3502.36,6.170047558045647
467,Z1_C0_T19.tif,40_10,8,0.5773502691896258,7.65685424949238,9833.855,6813.54,Z1_C1_T19.tif,391.0450000000001,3502.36,25.14763006815072
468,Z1_C0_T19.tif,40_11,16,0.5773502691896258,11.65685424949238,9872.48,6813.54,Z1_C1_T19.tif,282.6700000000001,3502.36,34.925814554073646
469,Z1_C0_T19.tif,40_12,30,0.4509717590117594,17.071067811865476,10591.729999999998,6813.54,Z1_C1_T19.tif,1322.3866666666663,3502.36,8.009555954385505
470,Z1_C0_T20.tif,41_1,71,0.84667728407172,31.31370849898476,9981.178169014089,6813.54,Z1_C1_T20.tif,769.509718309859,3502.36,12.970827959049846
471,Z1_C0_T20.tif,41_2,19,0.5207037318817047,13.071067811865476,7042.202631578946,6813.54,Z1_C1_T20.tif,328.5742105263156,3502.36,21.432609151821836
472,Z1_C0_T20.tif,41_3,83,0.8858656966944491,38.384776310850235,10240.692168674697,6813.54,Z1_C1_T20.tif,1349.9743373493973,3502.36,7.585842104807527
473,Z1_C0_T20.tif,41_4,53,0.7005378071601264,24.727922061357855,8756.734905660378,6813.54,Z1_C1_T20.tif,959.3994339622639,3502.36,9.127308809736911
474,Z1_C0_T20.tif,41_5,50,0.5087876631528438,23.071067811865476,8189.470000000001,6813.54,Z1_C1_T20.tif,995.6899999999997,3502.36,8.224919402625318
475,Z1_C0_T20.tif,41_6,64,0.8444559402973432,28.76345596729059,7717.3375,6813.54,Z1_C1_T20.tif,851.6399999999999,3502.36,9.06173676670894
476,Z1_C0_T20.tif,41_7,71,0.7981273803580107,30.72792206135785,7942.009154929579,6813.54,Z1_C1_T20.tif,731.58014084507,3502.36,10.855966026846394
477,Z1_C0_T20.tif,41_8,98,0.5814206949011503,43.798989873223334,8002.517346938775,6813.54,Z1_C1_T20.tif,742.8593877551018,3502.36,10.772586950973501
478,Z1_C0_T20.tif,41_9,65,0.7602464783353181,30.14213562373095,7489.626923076923,6813.54,Z1_C1_T20.tif,568.1976923076921,3502.36,13.181375117273651
479,Z1_C0_T20.tif,41_10,72,0.6418496884985683,32.97056274847714,7544.344444444445,6813.54,Z1_C1_T20.tif,26925.334444444452,3502.36,0.28019501336226044
480,Z2_C0_T00.tif,42_1,73,0.8706741894150044,43.97056274847714,9335.984657534245,6813.54,Z2_C1_T00.tif,2124.780958904109,3502.36,4.393857455475992
481,Z2_C0_T00.tif,42_2,8,0.5773502691896258,7.65685424949238,9639.56,6813.54,Z2_C1_T00.tif,-111.75500000000011,3502.36,-86.25618540557461
482,Z2_C0_T00.tif,42_3,36,0.54390564390978,19.071067811865476,9740.643333333332,6813.54,Z2_C1_T00.tif,2184.4811111111103,3502.36,4.459019253491677
483,Z2_C0_T00.tif,42_4,73,0.8417690156592499,33.55634918610404,12539.135342465752,6813.54,Z2_C1_T00.tif,3247.602876712328,3502.36,3.8610433043955164
484,Z2_C0_T00.tif,42_5,26,0.5440588203494177,15.65685424949238,9551.790769230769,6813.54,Z2_C1_T00.tif,39.86999999999989,3502.36,239.5733827246249
485,Z2_C0_T00.tif,42_6,16,0.5773502691896258,11.65685424949238,8868.3725,6813.54,Z2_C1_T00.tif,3208.9325,3502.36,2.763651930977046
486,Z2_C0_T00.tif,42_7,16,0.5773502691896258,11.65685424949238,9399.31,6813.54,Z2_C1_T00.tif,2818.995,3502.36,3.334276932027194
